"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@DavidB86318017 #realDonaldTrump aka #potus  is biggest bullshit artist",FALSE,0,"DavidB86318017",2019-09-28 13:33:10,FALSE,"1177934963766902784","1177939304988979200","759851754422874112","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pugsley_Denton",0,FALSE,FALSE,NA,NA
"#sad #realDonaldTrump #faketweets: RT realDonaldTrump: PRESIDENTIAL HARASSMENT! #cnn",FALSE,0,NA,2019-09-28 13:32:13,FALSE,NA,"1177939066668670976",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jazer313",0,FALSE,FALSE,NA,NA
"#sad #realDonaldTrump #faketweets: RT realDonaldTrump: Can you imagine if these Do Nothing Democrat Savages, people… https://t.co/0EZ07rY3yA",FALSE,0,NA,2019-09-28 13:32:12,TRUE,NA,"1177939064978382848",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jazer313",0,FALSE,FALSE,NA,NA
"#sad #realDonaldTrump #faketweets: RT realDonaldTrump: Voter I.D. is the best way. Go for it Doug! https://t.co/MldLkEjfIF #cnn",FALSE,0,NA,2019-09-28 13:32:12,FALSE,NA,"1177939062461739008",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jazer313",0,FALSE,FALSE,NA,NA
"#realDonaldTrump #NRA https://t.co/ABIuIakz8O",FALSE,0,NA,2019-09-28 13:30:24,FALSE,NA,"1177938612014452736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pugsley_Denton",0,FALSE,FALSE,NA,NA
"Mark Levin demands GOP turn tables on dirty Dems: ‘Where the hell are [ Gutless, Spineless, Amoral ] Republican cha… https://t.co/WJb86kh3DR",FALSE,0,NA,2019-09-28 13:29:59,TRUE,NA,"1177938504048955392",NA,"<a href=""https://github.com/mariotaku/twidere/"" rel=""nofollow"">Twidere for Android #7</a>","Conserve1st",0,FALSE,FALSE,NA,NA
"POLL: The majority of respondents in our latest unscientific poll say they believe the U.S. intel community is acti… https://t.co/GoxqZ6ODFr",FALSE,0,NA,2019-09-28 13:29:32,TRUE,NA,"1177938393537421312",NA,"<a href=""https://github.com/mariotaku/twidere/"" rel=""nofollow"">Twidere for Android #7</a>","Conserve1st",0,FALSE,FALSE,NA,NA
"CHANGE: Trump economy ‘killing it with union workers,’ the ‘opening’ to women, independents. …… https://t.co/eZhkZIodWK",FALSE,0,NA,2019-09-28 13:29:12,TRUE,NA,"1177938308703371266",NA,"<a href=""https://github.com/mariotaku/twidere/"" rel=""nofollow"">Twidere for Android #7</a>","Conserve1st",0,FALSE,FALSE,NA,NA
"Do picture of the inauguration of #realDonaldTrump show on hand behind his back with his fingers crossed?? https://t.co/xo8n6aORVL",FALSE,2,NA,2019-09-28 13:29:06,FALSE,NA,"1177938285391470592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bellerose8227",0,FALSE,FALSE,NA,NA
"DEAR TWITTER:  How are you allowing the maniac trump to continue to poison our country, and the entire world, with… https://t.co/fVVwZ5oafD",FALSE,0,NA,2019-09-28 13:27:35,TRUE,NA,"1177937901201559554",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petrone_steve",0,FALSE,FALSE,NA,NA
"RT @TangWen2: <U+7F8E><U+5F0F><U+7206><U+6599><U+9769><U+547D><U+518D><U+6380><U+8D77><U+9AD8><U+6F6E>:<U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+516C><U+5E03><U+5965><U+5DF4><U+9A6C>2012<U+5E74><U+8FDE><U+4EFB><U+7ADE><U+9009><U+65F6><U+63A5><U+53D7><U+9A6C><U+6765><U+897F><U+4E9A><U+5546><U+4EBA><U+5218><U+7279><U+5DE6>Jho Low<U+7684><U+8D5E><U+52A9>2160<U+4E07>,<U+6B64><U+4EBA><U+76EE><U+524D><U+6B63><U+5728><U+88AB><U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+901A><U+7F09><U+3010><U+574A><U+95F4><U+6D41><U+4F20>Jho Low<U+662F><U+4E2D><U+56FD><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+79C1><U+751F><U+5B50>,<U+76EE><U+524D><U+8EB2><U+5728><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+5730><U+76D8><U+3011>https://t.co/Y6N…",FALSE,0,NA,2019-09-28 13:25:54,FALSE,NA,"1177937477195026432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daguojianmin",352,TRUE,FALSE,NA,NA
"@DeplorableChoir Reporting for duty SIR.  #realDonaldTrump #cnn",FALSE,0,"DeplorableChoir",2019-09-28 13:24:25,FALSE,"1177763337716867072","1177937103939870720","970713428296810501","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scottandwater",0,FALSE,FALSE,NA,NA
"#realDonaldTrump https://t.co/PlKivKXKUT",FALSE,0,NA,2019-09-28 13:23:53,FALSE,NA,"1177936968870764551",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petrone_steve",0,FALSE,FALSE,NA,NA
"RT @TangWen2: <U+7F8E><U+5F0F><U+7206><U+6599><U+9769><U+547D><U+518D><U+6380><U+8D77><U+9AD8><U+6F6E>:<U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+516C><U+5E03><U+5965><U+5DF4><U+9A6C>2012<U+5E74><U+8FDE><U+4EFB><U+7ADE><U+9009><U+65F6><U+63A5><U+53D7><U+9A6C><U+6765><U+897F><U+4E9A><U+5546><U+4EBA><U+5218><U+7279><U+5DE6>Jho Low<U+7684><U+8D5E><U+52A9>2160<U+4E07>,<U+6B64><U+4EBA><U+76EE><U+524D><U+6B63><U+5728><U+88AB><U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+901A><U+7F09><U+3010><U+574A><U+95F4><U+6D41><U+4F20>Jho Low<U+662F><U+4E2D><U+56FD><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+79C1><U+751F><U+5B50>,<U+76EE><U+524D><U+8EB2><U+5728><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+5730><U+76D8><U+3011>https://t.co/Y6N…",FALSE,0,NA,2019-09-28 13:21:26,FALSE,NA,"1177936354182750208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minhuish1",352,TRUE,FALSE,NA,NA
"#NancyPelosi get your own house in order before you try to fix #realDonaldTrump 's House, Your state which you repr… https://t.co/A91MNzQ7oC",FALSE,0,NA,2019-09-28 13:17:54,TRUE,NA,"1177935464126394368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DominicSmullen",0,FALSE,FALSE,NA,NA
"RT @TammyLo06304602: I vape. I quit smoking with the aid of e cigs. I'm an adult. I use nicotine vape liquid, not illicit THC pods. Why are…",FALSE,0,NA,2019-09-28 13:17:37,FALSE,NA,"1177935393733390338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UnbreakableUnb1",39,TRUE,FALSE,NA,NA
"#realDonaldTrump sucks https://t.co/Jmif1C7LhQ",FALSE,0,NA,2019-09-28 13:16:24,FALSE,NA,"1177935086643224577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pugsley_Denton",0,FALSE,FALSE,NA,NA
